bnf_chemical_substance,bnf_chapter,bnf_name,bnf_code,drug,form,dose,misc1,combination
Magenta,3,3,3,3,3,0,0,3
Magnesium Aspartate,16,16,16,16,16,7,0,16
Magnesium Carbonate,29,29,29,29,29,22,0,29
Magnesium Chloride,31,31,31,31,31,30,0,31
Magnesium Citrate,19,19,19,19,19,17,0,19
Magnesium Gluconate,9,9,9,9,9,5,0,9
Magnesium Glycerophosphate,115,115,115,115,115,109,0,115
Magnesium Hydroxide,24,24,24,24,23,8,0,24
Magnesium Lactate,4,4,4,4,4,4,0,4
Magnesium Orotate,9,9,9,9,9,9,0,9
Magnesium Oxide,58,58,58,58,58,55,0,58
Magnesium Sulfate,45,45,45,45,45,38,0,45
Magnesium Sulphate,2,2,2,2,2,0,0,2
Magnesium Trisilicate,9,9,9,9,9,5,0,9
Maize (Corn),7,7,7,7,7,0,0,7
Malachite Green,1,1,1,1,1,1,0,1
Malathion,10,10,10,10,10,10,0,10
Malic Acid,2,2,2,2,2,1,0,2
Malt Extract,15,15,15,15,13,0,0,15
Maltodextrin,11,11,11,11,11,0,0,11
Mandelic Acid,2,2,2,2,2,2,0,2
Mannitol,19,19,19,19,19,19,0,19
Maprotiline Hydrochloride,9,9,9,9,9,9,0,9
Maraviroc,10,10,10,10,10,10,0,10
Mazindol,6,6,6,6,6,6,0,6
Measles,11,11,11,11,11,5,0,11
Measles. Mumps & Rubella Vaccine,12,12,12,12,12,8,0,12
Mebendazole,10,10,10,10,10,10,0,10
Mebeverine HCl Compound Preparations,3,3,3,3,3,1,0,3
Mebeverine Hydrochloride,16,16,16,16,16,16,0,16
Mebhydrolin,7,7,7,7,7,7,0,7
Mecasermin,2,2,2,2,2,2,0,2
Mecillinam,4,4,4,4,4,4,0,4
Meclozine Hydrochloride,6,6,6,6,6,4,0,6
Mecobalamin,10,10,10,10,10,10,0,10
Mecysteine Hydrochloride,2,2,2,2,2,2,0,2
Medazepam,2,2,2,2,2,2,0,2
Medicated Stockings,3,3,3,3,3,0,0,3
Medigoxin,2,2,2,2,2,2,0,2
Medrogestone,2,2,2,2,2,2,0,2
Medroxyprogesterone Acetate,49,49,49,49,49,49,0,49
Mefenamic Acid,23,23,23,23,23,22,0,23
Mefloquine Hydrochloride,2,2,2,2,2,2,0,2
Mefruside,2,2,2,2,2,2,0,2
Megestrol Acetate,14,14,14,14,14,14,0,14
Melatonin,117,117,117,117,117,114,0,117
Meloxicam,15,15,15,15,15,15,0,15
Melperone Hydrochloride,1,1,1,1,1,1,0,1
Melphalan,8,8,8,8,8,8,0,8
Memantine Hydrochloride,25,25,25,25,25,20,0,25
Menadiol Sodium Phosphate,18,18,18,18,18,18,0,18
Meningococcal A + C + W135 + Y Vaccine,5,5,5,5,5,3,0,5
Meningococcal A + C Vaccine,5,5,5,5,5,2,0,5
Meningococcal B Vaccine,3,3,3,3,3,3,0,3
Meningococcal C Vaccine,7,7,7,7,7,7,0,7
Menotrophin,25,25,25,25,25,24,0,25
Menthol,82,82,82,82,82,25,0,82
Mepacrine Hydrochloride,10,10,10,10,10,10,0,10
Mepenzolate Bromide,4,4,4,4,4,4,0,4
Mephenesin,1,1,1,1,1,0,0,1
Mephenytoin,2,2,2,2,2,2,0,2
Mepivacaine HCl,2,2,2,2,2,2,0,2
Mepivacaine Hydrochloride,4,4,4,4,4,4,0,4
Mepolizumab,6,6,6,6,6,6,0,6
Meprobamate,8,8,8,8,8,7,0,8
Meptazinol Hydrochloride,4,4,4,4,4,4,0,4
Mepyramine Maleate,12,12,12,12,12,10,0,12
Mequitazine,2,2,2,2,2,2,0,2
Mercaptamine,8,8,8,8,8,8,0,8
Mercaptamine Hydrochloride,8,8,8,8,8,8,0,8
Mercaptopurine,21,21,21,21,21,21,0,21
Mercuric Nitrate,3,3,3,3,3,0,0,3
Mercuric Oxide,1,1,1,1,1,1,0,1
Mercurochrome,6,6,6,6,6,6,0,6
Meropenem,10,10,10,10,10,8,0,10
Mesalazine (Systemic),61,61,61,61,61,59,0,61
Mesalazine (Top),1,1,1,1,1,1,0,1
Mesna,14,14,14,14,14,14,0,14
Mesterolone,2,2,2,2,2,2,0,2
Mestranol With Progestogen,2,2,2,2,2,0,0,2
Mesuximide,4,4,4,4,4,4,0,4
Metaraminol,3,3,3,3,3,3,0,3
Metergoline,3,3,3,3,3,3,0,3
Metformin Hydrochloride,60,60,60,60,60,59,0,60
Metformin Hydrochloride/Pioglitazone,2,2,2,2,2,2,0,2
Metformin Hydrochloride/Rosiglitazone,8,8,8,8,8,8,0,8
Metformin Hydrochloride/Sitagliptin,2,2,2,2,2,2,0,2
Metformin Hydrochloride/Vildagliptin,4,4,4,4,4,4,0,4
Methacycline Hydrochloride,2,2,2,2,2,2,0,2
Methadone Hydrochloride,120,120,120,120,120,118,0,120
Methandienone,2,2,2,2,2,2,0,2
Methaqualone & Diphenhydramine HCl,2,2,2,2,2,1,0,2
Methazolamide,5,5,5,5,5,5,0,5
Methenamine Hippurate,7,7,7,7,7,6,0,7
Methenamine Mandelate,6,6,6,6,6,6,0,6
Methicillin Sodium,5,5,5,5,5,4,0,5
Methionine,5,5,5,5,5,5,0,5
Methocarbamol,5,5,5,5,5,5,0,5
Methohexital Sodium,10,10,10,10,10,10,0,10
Methotrexate,272,272,272,272,272,271,0,272
Methoxamine Hydrochloride,2,2,2,2,2,2,0,2
Methoxsalen,31,31,31,31,31,29,0,31
Methoxy Polyethylene Glycol-Epoetin Beta,18,18,18,18,18,18,0,18
Methoxyphenamine Hydrochloride,2,2,2,2,2,2,0,2
Methycellulose,6,6,6,6,1,5,0,6
Methyclothiazide,2,2,2,2,2,2,0,2
Methyl Nicotinate,6,6,6,6,6,1,0,6
Methyl Prednisolone Acetate,2,2,2,2,2,0,0,2
Methyl Salicylate,69,69,69,69,69,29,0,69
Methyl Salicylate/Levomenthol,2,2,2,2,2,2,0,2
Methyl-5-Aminolevulinate,2,2,2,2,2,2,0,2
Methylamfetamine Hydrochloride,6,6,6,6,6,3,0,6
Methylcellulose,45,45,45,45,34,37,0,45
Methyldopa,28,28,28,28,28,27,0,28
Methyldopa With Diuretic,2,2,2,2,2,1,0,2
Methyldopate Hydrochloride,2,2,2,2,2,2,0,2
Methylnaltrexone Bromide,2,2,2,2,2,2,0,2
Methylpentynol,1,1,1,1,1,1,0,1
Methylphenidate Hydrochloride,71,71,71,71,71,71,0,71
Methylphenobarbital,6,6,6,6,6,6,0,6
Methylprednisolone,9,9,9,9,9,9,0,9
Methylprednisolone Aceponate,2,2,2,2,2,2,0,2
Methylprednisolone Acetate,14,14,14,14,14,14,0,14
Methylprednisolone Sodium Succinate,18,18,18,18,18,18,0,18
Methyltestosterone,24,24,24,24,24,22,0,24
Methylthioninium Chloride,6,6,6,6,6,6,0,6
Methyprylon,2,2,2,2,2,2,0,2
Methysergide,2,2,2,2,2,2,0,2
Metipranolol,12,12,12,12,12,12,0,12
Metirosine,2,2,2,2,2,2,0,2
Metixene Hydrochloride,6,6,6,6,6,6,0,6
Metoclopramide Hydrochloride,42,42,42,42,42,40,0,42
Metolazone,19,19,19,19,19,19,0,19
Metoprolol Fumarate,4,4,4,4,4,4,0,4
Metoprolol Tartrate,52,52,52,52,52,51,0,52
Metoprolol Tartrate With Diuretic,6,6,6,6,6,0,0,6
Metreleptin,6,6,6,6,6,6,0,6
Metrifonate,2,2,2,2,2,2,0,2
Metronidazole,111,111,111,111,109,110,0,111
Metyrapone,3,3,3,3,3,3,0,3
Mexenone,8,8,8,8,8,0,0,8
Mexiletine Hydrochloride,19,19,19,19,19,19,0,19
Mezlocillin,9,9,9,9,9,8,0,9
Mianserin Hydrochloride,13,13,13,13,13,13,0,13
Mibefradil,4,4,4,4,4,4,0,4
Micafungin,4,4,4,4,4,4,0,4
Miconazole,13,13,13,13,13,13,0,13
Miconazole Nitrate,32,32,32,32,32,26,0,32
Midazolam Hydrochloride,34,34,34,34,34,34,0,34
Midazolam Maleate,21,21,21,21,21,21,0,21
Midodrine Hydrochloride,13,13,13,13,13,13,0,13
Midostaurin,2,2,2,2,2,2,0,2
Mifepristone,2,2,2,2,2,2,0,2
Mifepristone/Misoprostol,2,2,2,2,2,1,0,2
Migalastat,2,2,2,2,2,2,0,2
Miglitol,1,1,1,1,1,1,0,1
Miglustat,2,2,2,2,2,2,0,2
Mild Silver Protein,4,4,4,4,4,0,0,4
Milrinone Lactate,2,2,2,2,2,2,0,2
Minaprine Hydrochloride,2,2,2,2,2,2,0,2
Minocycline Hydrochloride,24,24,24,24,24,24,0,24
Minoxidil,26,26,26,26,26,24,0,26
Mirabegron,4,4,4,4,4,4,0,4
Mirtazapine,22,22,22,22,22,22,0,22
Misoprostol,2,2,2,2,2,2,0,2
Misoprostol (Gynae),4,4,4,4,4,4,0,4
Mitobronitol,2,2,2,2,2,2,0,2
Mitomycin,9,9,9,9,9,9,0,9
Mitotane,4,4,4,4,4,4,0,4
Mitoxantrone,9,9,9,9,9,9,0,9
Mivacurium Chloride,4,4,4,4,4,4,0,4
Mixed Sulfonamides,4,4,4,4,4,1,0,4
Mizolastine,3,3,3,3,3,3,0,3
Moclobemide,8,8,8,8,8,8,0,8
Modafinil,9,9,9,9,9,9,0,9
Moexipril Hydrochloride,4,4,4,4,4,4,0,4
Molgramostim,8,8,8,8,8,8,0,8
Molsidomine,8,8,8,8,8,8,0,8
Mometasone Furoate,20,20,20,20,20,16,0,20
Monobasic Potassium Phosphate,15,15,15,15,15,14,0,15
Monochloroacetic Acid,2,2,2,2,2,0,0,2
Montelukast,8,8,8,8,8,8,0,8
Moracizine Hydrochloride,6,6,6,6,6,6,0,6
Morphine,1,1,1,1,1,0,0,1
Morphine (Opium Tincture),3,3,3,3,3,2,0,3
Morphine Anhydrous,4,4,4,4,4,2,0,4
Morphine Hydrochloride,29,29,29,29,29,26,0,29
Morphine Sulfate,233,233,233,233,233,230,0,233
Morphine Tartrate & Cyclizine Tartrate,4,4,4,4,4,4,0,4
Moxifloxacin,7,7,7,7,7,7,0,7
Moxifloxacin Hydrochloride,4,4,4,4,4,4,0,4
Moxisylyte Hydorchloride,9,9,9,9,9,9,0,9
Moxisylyte Hydrochloride,4,4,4,4,4,4,0,4
Moxonidine,14,14,14,14,14,14,0,14
Mumps,4,4,4,4,4,2,0,4
Mupirocin,6,6,6,6,6,6,0,6
Mustard Oil Expressed,1,1,1,1,1,0,0,1
Mycophenolate Mofetil,20,20,20,20,20,20,0,20
Mycophenolic Sod,6,6,6,6,6,6,0,6
Mydricaine,1,1,1,1,1,1,0,1
N.T.B.C.,3,3,3,3,3,3,0,3
Nabilone,12,12,12,12,12,12,0,12
Nabumetone,7,7,7,7,7,7,0,7
Nadolol,15,15,15,15,15,15,0,15
Nadolol With Diuretic,4,4,4,4,4,2,0,4
Nafarelin Acetate,4,4,4,4,4,4,0,4
Naftazone,1,1,1,1,1,1,0,1
Naftidrofuryl Oxalate,9,9,9,9,9,9,0,9
Nalbuphine Hydrochloride,7,7,7,7,7,7,0,7
Nalidixic Acid,11,11,11,11,11,11,0,11
Nalmefene,2,2,2,2,2,2,0,2
Naloxegol,4,4,4,4,4,4,0,4
Naloxone Hydrochloride,20,20,20,20,20,20,0,20
Naltrexone Hydrochloride,26,26,26,26,26,25,0,26
Naltrexone/Bupropion,2,2,2,2,2,2,0,2
Nandrolone Decanoate,10,10,10,10,10,10,0,10
Nandrolone Phenylpropionate,6,6,6,6,6,6,0,6
Naphazoline Hydrochloride,5,5,5,5,5,5,0,5
Naphazoline Nitrate,4,4,4,4,4,2,0,4
Naproxen,82,82,82,82,82,81,0,82
Naproxen Sodium,2,2,2,2,2,2,0,2
Naratriptan Hydrochloride,2,2,2,2,2,2,0,2
Natalizumab,2,2,2,2,2,2,0,2
Natamycin,11,11,11,11,11,9,0,11
Nateglinide,6,6,6,6,6,6,0,6
Nebivolol,5,5,5,5,5,5,0,5
Nedocromil Sodium,15,15,15,15,15,15,0,15
Nefazodone Hydrochloride,8,8,8,8,8,6,0,8
Nefopam Hydrochloride,7,7,7,7,7,6,0,7
Nelarabine,2,2,2,2,2,2,0,2
Nelfinavir Mesilate,4,4,4,4,4,4,0,4
Neomycin Sulfate,64,64,64,64,64,44,0,64
Neostigmine Bromide,16,16,16,16,16,15,0,16
Neostigmine Metilsulfate,7,7,7,7,7,7,0,7
Nepafenac,4,4,4,4,4,4,0,4
Netilmicin Sulfate,13,13,13,13,13,13,0,13
Netupitant/Palonosetron Hcl,2,2,2,2,2,2,0,2
Nevirapine,10,10,10,10,10,10,0,10
Nicardipine Hydrochloride,10,10,10,10,10,10,0,10
Nicergoline,4,4,4,4,4,4,0,4
Niclosamide,2,2,2,2,2,2,0,2
Nicofuranose,2,2,2,2,2,2,0,2
Nicorandil,8,8,8,8,8,8,0,8
Nicotinamide,33,33,33,33,33,33,0,33
Nicotinates,26,26,26,26,26,6,0,26
Nicotine,161,161,161,161,161,143,0,161
Nicotine Bitartrate,9,9,9,9,9,9,0,9
Nicotinic Acid,32,32,32,32,32,30,0,32
Nicotinic Acid Derivatives,15,15,15,15,15,14,0,15
Nicotinic Acid/Laropiprant,2,2,2,2,2,2,0,2
Nifedipine,118,118,118,118,118,117,0,118
Nifuroxazide,2,2,2,2,2,2,0,2
Nifurtimox,1,1,1,1,1,1,0,1
Nikethamide,2,2,2,2,2,2,0,2
Nilotinib,6,6,6,6,6,6,0,6
Nimesulide,2,2,2,2,2,2,0,2
Nimodipine,5,5,5,5,5,5,0,5
Nimorazole,2,2,2,2,2,2,0,2
Nintedanib,6,6,6,6,6,6,0,6
Niraparib,2,2,2,2,2,2,0,2
Nisoldipine,7,7,7,7,7,7,0,7
Nitazoxanide,2,2,2,2,2,2,0,2
Nitisinone,10,10,10,10,10,10,0,10
Nitrazepam,30,30,30,30,30,28,0,30
Nitrendipine,4,4,4,4,4,4,0,4
Nitrofurantoin,74,74,74,74,74,71,0,74
Nitrofurazone,6,6,6,6,6,4,0,6
Nitrophenol,2,2,2,2,2,1,0,2
Nitrous Oxide,16,16,16,16,16,15,0,16
Nivolumab,8,8,8,8,8,8,0,8
Nizatidine,10,10,10,10,10,10,0,10
Nomifensine Hydrogen Maleate,6,6,6,6,6,6,0,6
Nonoxinol 10 11,3,3,3,3,3,0,0,3
Nonoxinol 11,3,3,3,3,3,3,0,3
Nonoxinol 9,22,22,22,22,22,19,0,22
Noradrenaline Acid Tartrate,10,10,10,10,10,6,0,10
Norethisterone,13,13,13,13,13,13,0,13
Norethisterone Acetate,5,5,5,5,5,5,0,5
Norethisterone Enantate,2,2,2,2,2,2,0,2
Norfloxacin,5,5,5,5,5,5,0,5
Norgestrel,3,3,3,3,3,3,0,3
Normal Immunoglobulin (Gamma Globulin),213,213,213,213,213,213,0,213
Nortriptyline,26,26,26,26,26,22,0,26
Noscapine,1,1,1,1,1,1,0,1
Novobiocin,2,2,2,2,2,2,0,2
Noxytiolin,8,8,8,8,8,8,0,8
Nystatin,66,66,66,66,66,33,0,66
Obinutuzumab,2,2,2,2,2,2,0,2
Octoxinol,2,2,2,2,2,1,0,2
Octreotide Acetate,23,23,23,23,23,23,0,23
Oestrogens Conjugated,14,14,14,14,14,12,0,14
Oestrogens Conjugated with Bazedoxifene,2,2,2,2,2,2,0,2
Oestrogens Conjugated with Progestogen,17,17,17,17,17,13,0,17
Oestrogens Esterified With Androgen,2,2,2,2,2,1,0,2
Ofloxacin,13,13,13,13,13,13,0,13
Oils For The Ear,17,17,17,17,17,0,0,17
Olanzapine,58,58,58,58,58,58,0,58
Olanzapine Embonate,6,6,6,6,6,6,0,6
Olaparib,6,6,6,6,6,6,0,6
Olive Oil,1,1,1,1,1,0,0,1
Olmesartan Medox/Amlodipine/Hydchloroth,10,10,10,10,10,5,0,10
Olmesartan Medoxomil,7,7,7,7,7,7,0,7
Olmesartan Medoxomil/Amlodipine,6,6,6,6,6,6,0,6
Olmesartan Medoxomil/Hydrochlorothiazide,6,6,6,6,6,6,0,6
Olodaterol,2,2,2,2,2,2,0,2
Olopatadine,2,2,2,2,2,2,0,2
Olsalazine Sodium,6,6,6,6,6,6,0,6
Omalizumab,6,6,6,6,6,6,0,6
Omega-3 Marine Triglycerides,7,7,7,7,7,2,0,7
Omega-3-Acid Ethyl Esters,9,9,9,9,9,8,0,9
Omeprazole,63,63,63,63,63,62,0,63
Onapristone,1,1,1,1,1,1,0,1
Ondansetron Hydrochloride,31,31,31,31,31,31,0,31
Opicapone,2,2,2,2,2,2,0,2
Opium & Morphine,13,13,13,13,13,0,0,13
Oral Rehydration Salts,63,63,63,63,61,28,0,63
Orciprenaline Sulfate,19,19,19,19,19,19,0,19
Orlistat,8,8,8,8,8,8,0,8
Ornidazole,2,2,2,2,2,2,0,2
Orphenadrine Citrate,5,5,5,5,5,5,0,5
Orphenadrine Hydrochloride,18,18,18,18,18,15,0,18
Oseltamivir Phosphate,12,12,12,12,12,12,0,12
Osimertinib,4,4,4,4,4,4,0,4
Ospemifene,2,2,2,2,2,2,0,2
Other Acid Preps,45,45,45,45,43,26,0,45
Other Adjunct To Dispensing Preps,34,34,34,34,34,15,0,34
Other Adsorbent & Bulk-Forming Preps,2,2,2,2,2,1,0,2
Other Alcohol & Saline Preps,8,8,8,8,8,4,0,8
"Other Alcohol, Wine & Spirit Preps",30,30,30,30,23,17,0,30
Other Allergen Immunotherapy Preps,70,70,70,70,70,2,0,70
Other Amino Acid&Nutritional Agent Preps,587,587,587,587,570,312,0,587
Other Amoebicide Preps,1,1,1,1,1,0,0,1
Other Anabolic Steroid Preps,1,1,1,1,1,1,0,1
Other Andrenoceptor Agonist Preps,3,3,3,3,3,0,0,3
Other Antacid & Simeticone Preps,6,6,6,6,6,0,0,6
Other Anti-Inflammatory Preps,13,13,13,13,13,3,0,13
Other Antidepressant Preps,4,4,4,4,4,2,0,4
Other Antifibrinolytic & Haemostat Preps,2,2,2,2,2,1,0,2
Other Antifungal Preps,7,7,7,7,7,1,0,7
Other Antihistamine Preps,3,3,3,3,3,1,0,3
Other Antihypertensive Preps,1,1,1,1,1,0,0,1
Other Antimotility Preps,2,2,2,2,2,0,0,2
Other Antiperspirant Preps,6,6,6,6,6,2,0,6
Other Antispasm & Alt Gut Motility Preps,1,1,1,1,1,0,0,1
Other Antithyroid Preps,1,1,1,1,1,1,0,1
Other Antiviral Preps,14,14,14,14,14,1,0,14
Other Anxiolytic Preps,2,2,2,2,1,0,0,2
Other Aromatic Inhalation Preps,22,22,22,22,22,0,0,22
Other Aural Preparations,12,12,12,12,12,4,0,12
Other Barrier Preps,42,42,42,42,42,23,0,42
Other Base/Dil/SuspAgent/StabiliserPreps,101,101,101,101,95,22,0,101
Other Betacarotene Preps,73,73,73,73,73,43,0,73
Other Bile Acid Sequestrant Preps,1,1,1,1,1,0,0,1
Other Bisphosphonate & Other Preps,1,1,1,1,1,1,0,1
Other Bitter & Tonic Preps,26,26,26,26,26,2,0,26
Other Bladder/Urological Preps,3,3,3,3,3,2,0,3
Other Breath Freshener&Disclosing Preps,22,22,22,22,22,4,0,22
Other Bulk-Forming Laxative Preps,6,6,6,6,6,0,0,6
Other Calcium Supplement Preps,140,140,140,140,139,48,0,140
Other Camouflage Preps,105,105,105,105,100,10,0,105
Other Cationic Surfactant & Soap Preps,3,3,3,3,3,0,0,3
Other Chlorine & Iodine Preps,1,1,1,1,1,0,0,1
Other Chromium Preps,57,57,57,57,57,36,0,57
Other Chronic Bowel Disorder Preps,4,4,4,4,4,3,0,4
"Other Colour, Flavour & Sweetening Preps",78,78,78,78,73,10,0,78
Other Comp Vit/Mineral Formulation Preps,577,577,577,577,573,51,0,577
Other Concentrated Water Preps,24,24,24,24,24,0,0,24
Other Contact Lens Preps,116,116,116,116,113,6,0,116
Other Cordial/Soft Drink Preps,71,71,71,71,69,2,0,71
Other Cortico'oid&ImmunosuppressantPreps,2,2,2,2,2,2,0,2
Other Corticosteroid Preps,4,4,4,4,4,0,0,4
Other Cyanocobalamin (B12) Preps,38,38,38,38,38,9,0,38
Other Denture Fixative Preps,13,13,13,13,13,0,0,13
Other Desloughing Agents,8,8,8,8,8,0,0,8
Other Diagnostic Agent Preps,10,10,10,10,10,5,0,10
Other Diagnostic Skin Testing Preps,4,4,4,4,4,4,0,4
Other Diagnostic Vaccine Preps,14,14,14,14,14,10,0,14
Other Digestive Aid Preps,354,354,354,354,351,58,0,354
"Other Disinfect,Preserv&SterilisingPreps",125,125,125,125,125,43,0,125
Other Dolomite Preps,30,30,30,30,30,14,0,30
Other Drugs To Treat Neuropathic Pain,2,2,2,2,2,2,0,2
Other Dusting Powder Preps,20,20,20,20,20,0,0,20
Other Eczema & Psoriasis Preps,8,8,8,8,8,1,0,8
Other Eczema Preps,34,34,34,34,34,4,0,34
Other Electrode/Ultrasonic Gel Preps,44,44,44,44,44,1,0,44
Other Electrolyte & Water Preps,24,24,24,24,22,23,0,24
Other Emollient Preps,349,349,349,349,348,37,0,349
Other Enzyme Preps 0911020,226,226,226,226,226,66,0,226
Other Enzyme Preps 1003010,1,1,1,1,1,1,0,1
Other Erectile Dysfunction Preps,5,5,5,5,5,1,0,5
Other Essence Preps,22,22,22,22,22,0,0,22
Other Expectorant& Demulcent Cough Preps,84,84,84,84,73,5,0,84
Other Extract Preps,80,80,80,80,80,0,0,80
Other Eye Preps,1,1,1,1,1,0,0,1
Other Eye Tear/Lubricant/AstringentPreps,20,20,20,20,20,2,0,20
Other Faecal Softener Preps,1,1,1,1,1,0,0,1
Other Fluoride Preps,6,6,6,6,6,0,0,6
Other Food For Special Diet Preps,558,558,558,558,533,222,0,558
Other Food Preps,305,305,305,305,300,19,0,305
Other Gas Preps,35,35,35,35,34,31,0,35
Other Gel & Colloid Dressing Preps,1,1,1,1,1,0,0,1
Other Glandular Preps,81,81,81,81,81,25,0,81
Other HIV Infection Preps,6,6,6,6,6,6,0,6
Other Health Supplement Preps,2622,2622,2622,2622,2609,1043,0,2622
Other Homeopathic Preps,2,2,2,0,0,0,0,2
Other Household & Over The Counter Preps,29,29,29,29,22,1,0,29
Other Hypnotic Preps,17,17,17,17,17,14,0,17
Other Hypoplastic/Haemolytic/Renal Preps,4,4,4,4,4,4,0,4
Other Immunoglobulin Preps,5,5,5,5,5,5,0,5
Other Individ Form Prepared Extemp Preps,16,16,16,16,1,0,0,16
Other Individually Form Bought In Preps,40,40,40,40,9,0,0,40
Other Infusion Preps,6,6,6,6,6,0,0,6
Other Inhalational Anaesthetic Preps,1,1,1,1,1,0,0,1
Other Insect Repellent Preps,39,39,39,39,39,15,0,39
Other Intermed&Long-Acting Insulin Preps,5,5,5,5,1,5,0,5
Other Intravenous Nutrition Preps,55,55,55,55,50,41,0,55
Other Kelp Preps,33,33,33,33,33,17,0,33
Other Laetrile (Vitamin B17) Preps,8,8,8,8,8,8,0,8
Other Lipid-Regulating Preps,11,11,11,11,11,4,0,11
Other Local Anaesthetic Preps,9,9,9,9,8,7,0,9
Other Local Sclerosants Preps,8,8,8,8,8,7,0,8
Other Loop Diuretic Preps,1,1,1,1,1,0,0,1
Other Lozenge & Spray Preps,30,30,30,30,30,2,0,30
Other Lubricating Jelly/Pessary Preps,25,25,25,25,24,7,0,25
Other Magnesium Preps,142,142,142,142,142,99,0,142
Other Male Sex Hormone&Antagonist Preps,2,2,2,2,2,0,0,2
Other Manganese Preps,28,28,28,28,27,16,0,28
Other Mania & Hypomania Preps,1,1,1,1,1,1,0,1
Other Megaloblastic Anaemia Preps,18,18,18,18,17,9,0,18
Other Mineral Formulation Preps,188,188,188,188,188,45,0,188
Other Minor Cut & Abrasion Preps,49,49,49,49,49,4,0,49
Other Miscellaneous Topical Preps,75,75,75,75,74,19,0,75
"Other Mouth Wash,Gargle&Dentifrice Preps",43,43,43,43,42,12,0,43
Other Multivitamin Preps,308,308,308,308,308,31,0,308
Other Mydriatic & Cycloplegic Preps,2,2,2,2,2,0,0,2
Other Nasal Allergy Preps,2,2,2,2,2,2,0,2
Other Nasal Infection Preps,8,8,8,8,8,7,0,8
Other Nausea & Vertigo Preps,1,1,1,1,1,0,0,1
Other Neuromus'ar Transmi'on Preps,7,7,7,7,7,7,0,7
Other Nicotinamide (B7) Preps,38,38,38,38,38,29,0,38
Other Non-Opioid Analgesic Preps,5,5,5,5,5,0,0,5
Other Ocular/Peri-op/Photodyn Preps,12,12,12,12,11,6,0,12
Other Oestrogen & HRT Preps,9,9,9,9,9,5,0,9
Other Oil Preps,401,401,401,401,401,0,0,401
Other Oral Anticoagulant Preps,9,9,9,9,9,8,0,9
Other Oral Bicarbonate Preps,1,1,1,1,1,1,0,1
Other Oral Iron Preps,56,56,56,56,56,27,0,56
Other Oral Potassium Preps,25,25,25,25,25,11,0,25
Other Oral Ulceration&Inflammation Preps,21,21,21,21,21,6,0,21
Other Osmotic Laxative Preps,3,3,3,3,3,0,0,3
Other Otitis Externa Preps,3,3,3,3,3,0,0,3
Other Oxidiser & Dye Preps,3,3,3,3,3,0,0,3
Other Pancreatin Preps,4,4,4,4,4,0,0,4
Other Pantothenic Acid Preps,65,65,65,65,65,47,0,65
Other Parasiticidal Preps,4,4,4,4,4,3,0,4
Other Peripheral VasodilatorRelatedPreps,2,2,2,2,2,1,0,2
Other Pesticide Preps,16,16,16,16,16,8,0,16
Other Phenolic Preps,7,7,7,7,7,1,0,7
Other Phosphate Binding Agent Preps,1,1,1,1,1,0,0,1
Other Phosphate Supplement Preps,21,21,21,21,21,8,0,21
Other Polysorbate & Tween Preps,17,17,17,17,17,4,0,17
Other Preparations,144,144,144,144,139,43,0,144
Other Preparations For Biliary Disorders,2,2,2,2,2,0,0,2
Other Progestogen Preps,2,2,2,2,2,1,0,2
Other Prophylaxis of Migraine Preps,1,1,1,1,1,0,0,1
Other Psoriasis Preps,60,60,60,60,60,5,0,60
Other Purified Water Preps,5,5,5,5,5,0,0,5
Other Pyridoxine Hydrochloride(B6)Preps,77,77,77,77,77,13,0,77
Other Respiratory Stimulant Preps,1,1,1,1,1,1,0,1
Other Riboflavine (B2) Preps,29,29,29,29,29,8,0,29
Other Rubefacient&Top AntirheumaticPreps,29,29,29,29,29,6,0,29
Other Screening & Monitoring Agent Preps,2,2,2,2,2,0,0,2
Other Selenium Preps,138,138,138,138,138,115,0,138
Other Shampoo & Scalp Preps,27,27,27,27,27,4,0,27
Other Single Substance Preps,519,519,519,519,512,9,0,519
Other Soap Pdr/Softner/Washing Up Preps,8,8,8,8,8,0,0,8
Other Sodium Bicarbonate Preps,3,3,3,3,3,0,0,3
Other Soothing Haemorrhoidal Preps,14,14,14,14,14,0,0,14
Other Special Sanction Reagent Preps,2,2,2,2,2,0,0,2
Other Spring/Mineral & Soda Water Preps,18,18,18,18,17,2,0,18
Other Stimulant Laxative Preps,16,16,16,16,16,1,0,16
Other Sunscreening Preps,367,367,367,367,366,28,0,367
Other Syrup Preps,7,7,7,7,7,0,0,7
Other Tap Water Preps,1,1,1,1,0,0,0,1
Other Test For Helicobacter Pylori Preps,10,10,10,10,10,7,0,10
Other Theophylline Preps,1,1,1,1,1,0,0,1
Other Thiamine Hydrochloride (B1) Preps,25,25,25,25,25,7,0,25
Other Thyroid Hormone Preps,2,2,2,2,2,0,0,2
Other Tincture Preps,560,560,560,560,560,2,0,560
Other Toiletry Preps,995,995,995,995,989,86,0,995
Other Top Anaesthetic&Antipruritic Preps,15,15,15,15,15,7,0,15
Other Topical Acne Preps,12,12,12,12,12,1,0,12
Other Topical Circulatory Preps,13,13,13,13,13,2,0,13
Other Topical Corticosteroid Preps,43,43,43,43,43,1,0,43
Other Topical Nasal Decongestant Preps,9,9,9,9,9,3,0,9
Other Topical Only Antibacterial Preps,8,8,8,8,3,5,0,8
Other Treatment of Acute Migraine Preps,1,1,1,1,1,0,0,1
